count,world_name,world_id,favorites,platforms,thumbnail,world_url,fetch_date
1,時果ての塔,wrld_72f51f5e-8314-4ab9-b1cb-b6079a20cbfc,1065,"{'pc': True, 'android': True, 'ios': True}",時果ての塔_thumbnail.png,https://vrchat.com/home/world/wrld_72f51f5e-8314-4ab9-b1cb-b6079a20cbfc,2025-12-15 00:30:13.422674+09:00
1,The 3rd Answer,wrld_e0fb5d6e-ddc8-47ae-8a52-6b81b7465b75,10104,"{'pc': True, 'android': True, 'ios': True}",The 3rd Answer_thumbnail.png,https://vrchat.com/home/world/wrld_e0fb5d6e-ddc8-47ae-8a52-6b81b7465b75,2025-12-15 00:30:12.332258+09:00
1,MAYBE?,wrld_ffc0f4fa-f815-49df-a14b-633bc5c41446,830,"{'pc': True, 'android': True, 'ios': True}",MAYBE?_thumbnail.png,https://vrchat.com/home/world/wrld_ffc0f4fa-f815-49df-a14b-633bc5c41446,2025-12-15 00:30:11.262000+09:00
1,寝覚めの庭園 - Early spring gardens -,wrld_3df5c22b-a27e-4fac-ac0d-01861c0359b7,4181,"{'pc': True, 'android': True, 'ios': True}",寝覚めの庭園 - Early spring gardens -_thumbnail.png,https://vrchat.com/home/world/wrld_3df5c22b-a27e-4fac-ac0d-01861c0359b7,2025-12-15 00:30:10.198220+09:00
1,Late Nights （深夜）,wrld_35bdab09-0d95-49b2-ab4f-8d709e4e3ce9,7444,"{'pc': True, 'android': True, 'ios': True}",Late Nights （深夜）_thumbnail.png,https://vrchat.com/home/world/wrld_35bdab09-0d95-49b2-ab4f-8d709e4e3ce9,2025-12-15 00:30:09.145403+09:00
1,Cyanaria,wrld_12c89f0b-81c4-4d8f-9184-eb07143e961a,9251,"{'pc': True, 'android': True, 'ios': True}",Cyanaria_thumbnail.png,https://vrchat.com/home/world/wrld_12c89f0b-81c4-4d8f-9184-eb07143e961a,2025-12-15 00:30:08.039582+09:00
1,夜明けの境界-The boundary of daybreak,wrld_5d13cced-3a66-4c73-a1e2-54d904467d9e,2887,"{'pc': True, 'android': False, 'ios': False}",夜明けの境界-The boundary of daybreak_thumbnail.png,https://vrchat.com/home/world/wrld_5d13cced-3a66-4c73-a1e2-54d904467d9e,2025-12-15 00:30:32.957409+09:00
1,Hiroshima Genbaku Dome,wrld_07e3a779-0717-4530-9d00-4ec7ddebcabb,1755,"{'pc': True, 'android': False, 'ios': False}",Hiroshima Genbaku Dome_thumbnail.png,https://vrchat.com/home/world/wrld_07e3a779-0717-4530-9d00-4ec7ddebcabb,2025-12-15 00:30:31.872119+09:00
1,Seclusion,wrld_ed4a3561-4498-4450-96ee-9b711f730586,40009,"{'pc': True, 'android': True, 'ios': False}",Seclusion_thumbnail.png,https://vrchat.com/home/world/wrld_ed4a3561-4498-4450-96ee-9b711f730586,2025-12-15 00:30:30.669205+09:00
1,Ἀνάμνησις,wrld_05b3bfdf-f77b-4220-8b02-124799bad999,1513,"{'pc': True, 'android': True, 'ios': False}",Ἀνάμνησις_thumbnail.png,https://vrchat.com/home/world/wrld_05b3bfdf-f77b-4220-8b02-124799bad999,2025-12-15 00:26:43.602984+09:00
